Parlamentare,id,Partito,dataIngresso,707002,707001,707004,707003,708014,708015,708007,708010,708004,708023,708018,708005,708017,708024,708011,708021,708008,708006,708026,708009,708028,708003,708030,708012,708025,708013,708022,708027,708020,708019,708029,708016,711021,711025,711028,711006,711034,711044,711008,711032,711013,711017,711023,711024,711016,711042,711040,711011,711041,711031,711020,711019,711003,711007,711026,711043,711014,711022,711036,711029,711046,711047,711002,711052,711005,711037,711027,711030,711050,711009,711051,711012,711015,711048,711033,711049,711010,711004,711045,711018,711039,711038,711035,711001,712024,712019,712033,712011,712068,712006,712032,712017,712048,712009,712005,712038,712018,712061,712007,712059,712034,712015,712014,712025,712023,712064,712002,712035,712012,712037,712049,712027,712030,712069,712055,712053,712066,712010,712031,712057,712045,712004,712036,712040,712060,712062,712039,712054,712046,712051,712013,712026,712056,712001,712067,712065,712041,712022,712050,712021,712044,712047,712058,712063,712043,712042,712020,712029,712052,712008,712016,712003,712028,713001,714001,714002,715011,715008,715003,715005,715010,715001,715004,715012,715002,715006,715009,715007,716016,716003,716026,716017,716019,716006,716014,716023,716012,716008,716011,716009,716020,716024,716007,716004,716001,716022,716015,716018,716002,716025,716021,716013,716010,716005
D'ERAMO LUIGI,307242,LEGA,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
D'ALESSANDRO CAMILLO,307244,PD,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
DONZELLI GIOVANNI,307246,FDI,2018-03-27,Non ha votato,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Astensione,Favorevole,Astensione,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Non ha votato,Non ha votato,Contrario,Non ha votato,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole
MAZZETTI ERICA,307248,FI,2018-03-27,Favorevole,Non ha votato,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario
RICCIARDI RICCARDO,307250,M5S,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Favorevole,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Favorevole,Non ha votato,Contrario,Non ha votato,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZZINI GLORIA,307252,M5S,2018-03-27,Favorevole,Favorevole,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,
BORGHI CLAUDIO,307254,LEGA,2018-03-27,Favorevole,Favorevole,Contrario,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato,Favorevole,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Non ha votato,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Favorevole,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Favorevole,Non ha votato,Non ha votato,Non ha votato,Astensione,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario
BERTI FRANCESCO,307256,M5S,2018-03-27,Favorevole,Non ha votato,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Favorevole,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Non ha votato,Contrario,Non ha votato,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Astensione,Contrario,Favorevole,Contrario,Favorevole,Non ha votato,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Astensione,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Contrario,Favorevole,Contrario,Non ha votato,Contrario,Non ha votato,Favorevole,Favorevole,Non ha votato,Non ha votato,Non ha votato,Favorevole,Contrario,Favorevole,Non ha votato,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato
CIAMPI LUCIA,307258,PD,2018-03-27,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Non ha votato,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Astensione,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario
MUGNAI STEFANO,307260,FI,2018-03-27,Favorevole,Favorevole,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGNAIOLI DONATELLA,307262,LEGA,2018-03-27,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato,Favorevole,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
EHM YANA CHIARA,307264,MISTO,2018-03-23,Favorevole,Astensione,Contrario,Favorevole,Contrario,Contrario,Favorevole,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Astensione,Non ha votato,Non ha votato,Astensione,Favorevole,Favorevole,Favorevole,Astensione,Astensione,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Astensione,Non ha votato,Favorevole,Favorevole,Astensione,Astensione,Favorevole,Favorevole,Astensione,Favorevole,Astensione,Favorevole,Favorevole,Astensione,Astensione,Favorevole,Favorevole,Favorevole,Favorevole,Astensione,Favorevole,Favorevole,Astensione,Astensione,Astensione
SENSI FILIPPO,307266,PD,2018-03-27,Favorevole,Favorevole,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPANI ELISABETTA,307268,MISTO,2018-03-23,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,
POTENTI MANFREDI,307270,LEGA,2018-03-27,Favorevole,Non ha votato,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGLIORINO LUCA,307272,M5S,2018-03-27,Favorevole,Favorevole,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario
TESTAMENTO ROSA ALBA,307275,M5S,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,
SOVERINI SERSE,307276,MISTO,2018-03-23,Favorevole,Non ha votato,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,
VIETINA SIMONA,307277,CI,2022-06-23,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERICO ANTONIO,307278,M5S,2018-03-27,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Contrario
TOMASI MAURA,307279,LEGA,2018-03-27,Favorevole,Favorevole,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,
OCCHIONERO GIUSEPPINA,307281,IV-IC'E',2019-09-19,Favorevole,Favorevole,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,
CRITELLI FRANCESCO,307282,PD,2018-03-27,Favorevole,Favorevole,Contrario,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
